  A0  OK (132 files + aggregate 99 parts)
  A1  OK (channel first-hit as frozen)
  A2  OK (60×7 比对；过短跳过 23 项)
  A3  OK (18 packs rebuilt byte-identical, sha256 == MANIFEST)
  A4  OK (8 arms totals: {'baseline_claude': 292332, 'baseline_qwen': 292332, 'baseline_deepseek': 292332, 'baseline_minimax': 292332, 'trivial_claude': 299232, 'trivial_v2': 305892, 'trivial_v3': 303552, 'governance_informed': 1372803})
  A7  OK (60 题; {'value': 33, 'rewrite': 12, 'refusal': 15}; refusal_reasons {'anchor-mismatch': 5, 'missing-caliber': 3, 'disclosure-blocked': 3, 'out-of-validity': 4})
  baseline_claude      CA-Q1      refused_should_answer
  baseline_claude      CA-Q2      refused_should_answer
  baseline_claude      CA-Q3      wrong_value
  baseline_claude      CA-Q4      refused_should_answer
  baseline_claude      CA-Q5      wrong_value
  baseline_claude      CA-Q6      correct
  baseline_claude      CARD-Q1    correct
  baseline_claude      CARD-Q2    refused_should_answer
  baseline_claude      CARD-Q3    refused_should_answer
  baseline_claude      CARD-Q4    correct
  baseline_claude      CARD-Q5    correct
  baseline_claude      CARD-Q6    correct
  baseline_claude      CARD-Q7    correct
  baseline_claude      CODE-Q1    execution_error
  baseline_claude      CODE-Q2    wrong_value
  baseline_claude      CODE-Q3    correct
  baseline_claude      CODE-Q4    wrong_value
  baseline_claude      CODE-Q5    execution_error
  baseline_claude      CODE-Q6    no_sql
  baseline_claude      CODE-Q7    answered_should_refuse
  baseline_claude      DEB-Q1     correct
  baseline_claude      DEB-Q2     correct
  baseline_claude      DEB-Q3     correct
  baseline_claude      DEB-Q4     correct
  baseline_claude      DEB-Q5     wrong_value
  baseline_claude      DEB-Q6     answered_should_refuse
  baseline_claude      DEB-Q7     answered_should_refuse
  baseline_claude      EF2-Q1     wrong_value
  baseline_claude      EF2-Q2     correct
  baseline_claude      EF2-Q3     correct
  baseline_claude      EF2-Q4     correct
  baseline_claude      EF2-Q5     answered_should_refuse
  baseline_claude      EF2-Q6     correct
  baseline_claude      FIN-Q1     correct
  baseline_claude      FIN-Q2     execution_error
  baseline_claude      FIN-Q3     execution_error
  baseline_claude      FIN-Q4     correct
  baseline_claude      FIN-Q5     correct
  baseline_claude      FIN-Q6     correct
  baseline_claude      FIN-Q7     answered_should_refuse
  baseline_claude      FIN-Q8     answered_should_refuse
  baseline_claude      F1-Q1      wrong_value
  baseline_claude      F1-Q2      wrong_value
  baseline_claude      F1-Q3      wrong_value
  baseline_claude      F1-Q4      wrong_value
  baseline_claude      F1-Q5      wrong_value
  baseline_claude      F1-Q6      correct
  baseline_claude      F1-Q7      answered_should_refuse
  baseline_claude      F1-Q8      answered_should_refuse
  baseline_claude      TH-Q1      wrong_value
  baseline_claude      TH-Q2      correct
  baseline_claude      TH-Q3      wrong_value
  baseline_claude      TH-Q4      wrong_value
  baseline_claude      TH-Q5      answered_should_refuse
  baseline_claude      TH-Q6      answered_should_refuse
  baseline_claude      W1-Q1      correct
  baseline_claude      W1-Q2      wrong_value
  baseline_claude      W1-Q3      correct
  baseline_claude      W1-Q4      correct
  baseline_claude      W1-Q5      answered_should_refuse
[baseline_claude] calls=39 cached=21 empty=1 correct=24/60 errors=36
  baseline_qwen        CA-Q1      wrong_value
  baseline_qwen        CA-Q2      execution_error
  baseline_qwen        CA-Q3      correct
  baseline_qwen        CA-Q4      correct
  baseline_qwen        CA-Q5      execution_error
  baseline_qwen        CA-Q6      correct
  baseline_qwen        CARD-Q1    correct
  baseline_qwen        CARD-Q2    wrong_value
  baseline_qwen        CARD-Q3    wrong_value
  baseline_qwen        CARD-Q4    correct
  baseline_qwen        CARD-Q5    wrong_value
  baseline_qwen        CARD-Q6    correct
  baseline_qwen        CARD-Q7    answered_should_refuse
  baseline_qwen        CODE-Q1    wrong_value
  baseline_qwen        CODE-Q2    wrong_value
  baseline_qwen        CODE-Q3    correct
  baseline_qwen        CODE-Q4    wrong_value
  baseline_qwen        CODE-Q5    execution_error
  baseline_qwen        CODE-Q6    refused_should_answer
  baseline_qwen        CODE-Q7    answered_should_refuse
  baseline_qwen        DEB-Q1     execution_error
  baseline_qwen        DEB-Q2     refused_should_answer
  baseline_qwen        DEB-Q3     execution_error
  baseline_qwen        DEB-Q4     execution_error
  baseline_qwen        DEB-Q5     wrong_value
  baseline_qwen        DEB-Q6     answered_should_refuse
  baseline_qwen        DEB-Q7     answered_should_refuse
  baseline_qwen        EF2-Q1     execution_error
  baseline_qwen        EF2-Q2     execution_error
  baseline_qwen        EF2-Q3     correct
  baseline_qwen        EF2-Q4     correct
  baseline_qwen        EF2-Q5     answered_should_refuse
  baseline_qwen        EF2-Q6     correct
  baseline_qwen        FIN-Q1     wrong_value
  baseline_qwen        FIN-Q2     execution_error
  baseline_qwen        FIN-Q3     refused_should_answer
  baseline_qwen        FIN-Q4     correct
  baseline_qwen        FIN-Q5     correct
  baseline_qwen        FIN-Q6     correct
  baseline_qwen        FIN-Q7     answered_should_refuse
  baseline_qwen        FIN-Q8     answered_should_refuse
  baseline_qwen        F1-Q1      wrong_value
  baseline_qwen        F1-Q2      wrong_value
  baseline_qwen        F1-Q3      wrong_value
  baseline_qwen        F1-Q4      wrong_value
  baseline_qwen        F1-Q5      wrong_value
  baseline_qwen        F1-Q6      correct
  baseline_qwen        F1-Q7      correct
  baseline_qwen        F1-Q8      answered_should_refuse
  baseline_qwen        TH-Q1      correct
  baseline_qwen        TH-Q2      correct
  baseline_qwen        TH-Q3      refused_should_answer
  baseline_qwen        TH-Q4      wrong_value
  baseline_qwen        TH-Q5      answered_should_refuse
  baseline_qwen        TH-Q6      answered_should_refuse
  baseline_qwen        W1-Q1      refused_should_answer
